Events,Location,Trial,Impound_Location,Impound_Time,7:00 AM,8:15 AM,9:30 AM,10:45 AM,12:00 PM,1:15 PM,2:30 PM
Anatomy & Physiology,Harvard 102,,,,,1,11,21,31,41,51
Boomilever,Science Hall D,,,,,SS,,,,,
Circuit Lab,Science 302,,,,,41,51,1,11,21,31
Crime Busters,Harvard 103,,,,,31,41,51,1,11,21
Density Lab,NW Labs B129,,,,,SS,,,,,
Disease Detectives,Emerson 105,,,,ALL,,,,,,
Dynamic Planet,Science 104,,,,,11,21,31,41,51,1
EL Gliders,Science Lab B,,,,,SS,,,,,
Experimental Design,Science 216,,,,ALL,,,,,,
Food Science,Science Lab A,,,,,51,1,11,21,31,41
Fossils,Science 105,,,,,41,51,1,11,21,31
Game On,"Science 112, 113",,,,,31,41,51,1,11,21
Heredity,Science Hall E,,,,,21,31,41,51,1,11
Machines,Hemenway Gym,,Hemenway Gym 2,7:00 AM,,SS,,,,,
Meteorology,Harvard 1636,,,,,1,11,21,31,41,51
Mission Possible,Science Hall A,,Science Hall B,7:30 AM,,SS,,,,,
Mousetrap Vehicle,Science 309/309a,,Science 308,7:45 AM,,SS,,,,,
Ornithology,Science 116,,,,,31,41,51,1,11,21
Ping-Pong Parachute,Harvard New Trier,,,,,21,31,41,51,1,11
Reach for the Stars,Harvard 2019,,,,,11,21,31,41,51,1
Road Scholar,Emerson 210,,,,,1,11,21,31,41,51
Water Quality,Science 221,,,,,51,1,11,21,31,41
"Write It, Do It",Harvard 201/202,,,,,41,51,1,11,21,31
Data Analysis,Emerson 101,Yes,,,,41,51,1,11,21,31
